[Info] Starting in client mode
[Info] Supports raw mouse? False
[Info] Opened a file for writing to at data.dat
[Info] Finished writing to file.
[Info] loading blocks
[Info] Connected to server.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
[Info] Finished reading from file.
